TAB,TIMU,DAAN
简答题,无砟轨道防胀期，天气预报日最高气温达到38°C及以上或连续3-5天日最高气温达到35°C及以上时，工务设备管理单位应执行哪些内容？,"工务段根据管内实际情况发布高温预警,安排高温专项排查，每3天检查一遍,必要时进行高低、轨向的检查,其中未整治的B、 C级病害处所应重点关注病害发展变化情况,防胀重点区段应加强检查。若日最高气温连续 14天达到 35°C及以上时,每2天检查一遍。
预警启动后实时分析车载式线路检查仪数据 ,在 每天
11:00~16:00高温时段安排不少于 3趟 添乘检查,并做好便携式
添乘仪新增偏差数据的综合分析"
简答题,胀轨跑道防治方法？,"一、 当线路连续出现碎弯并有胀轨迹象时，应限制列车运行速度或封锁线路，并尽快组织处理。
二、 作业中如出现轨向、高低不良时，必须停止作业，并及时采取防胀措施。
三、 发现胀轨跑道时应立即封锁线路进行处理。"
简答题,精测网复测周期?,精测网应定期复测，复测周期不宜超过3年，具体复测周期由铁路局集团公司根据线路沉降、地质条件等情况确定。
简答题,线路设备图表哪些内容？,线路设备图表包括信息系统数据库及汇总表、综合图、车站配线图（含相关数据表格）、枢纽图、铁路局集团公司线路示意图等技术资料
简答题,工务部门确认车添乘人员的职责包括那些方面？,"答：①确认天窗后线路质量是否满足动车组正常开行；②确认路材路料是否按要求堆码整齐并清出限界；③确认施工机具是否全部清理完毕；④确认防护栅栏网等防护设施是否完好；⑤确认限速处所是否按照规定设置限速标志；⑥确认路基、路堑护坡是否有危及行车安全的现象等；⑦确认是否存在危及安全和影响行车的其他事项。 
"
简答题,绝缘接头应满足哪些技术要求？,"一、绝缘接头应符合《钢轨胶接绝缘接头》（TB/T 2975）规定。
二、钢轨端面与绝缘端板之间应密贴，间隙不应大于1mm。
三、绝缘接头螺栓、夹板与扣件不得接触。
四、左右两股钢轨绝缘接头应相对铺设，且绝缘接头轨缝绝缘端板距轨枕承轨台边缘不宜小于100mm。
五、胶接绝缘接头不宜设置在小阻力扣件地段，距桥台边墙和混凝土梁温度跨度80m、钢梁温度跨度60m及以上的梁端不宜小于2m。
六、胶接绝缘接头宜采用现场胶接，胶接绝缘接头与焊接接头间距，正线不应小于20m，道岔间困难条件下不应小于12m，站线困难条件不应小于6m，道岔按设计进行配轨。"
简答题,请写出无缝线路道岔位移观测桩设置要求。,无缝道岔岔头、限位器（或间隔铁）、岔尾（含直、曲股），以及无缝道岔管理单元（一般车站咽喉区分为四个单元）两端道岔外方50m、200m处设置钢轨位移观测桩。
简答题,请写出无缝线路锁定轨温相关要求。,无缝线路相邻单元轨节之间锁定轨温之差不应大于5℃，同一区间内单元轨节最高与最低锁定轨温之差不应大于10℃（长隧道除外）；左右股钢轨锁定轨温之差，允许速度160km/h以上线路不应大于3℃，允许速度160km/h及以下线路不应大于5℃。
判断题,集团公司林业主管部门（工务处）应每年二季度组织有关部门和单位对沿线树木进行一次全面检查，做出记录，对影响信号显示的树木按规定及时处理。,N
判断题,新建线路及道岔未经验收需取送工程用料车辆时，事前施工单位应向集团公司书面申请，写明线路对机型、运行速度等限制及注意事项，经集团公司施工管理部门批准后执行。取送车辆时，调车及安全工作由设备管理单位负责。,N
判断题,准备进路时，由应急行车小组人员和电务人员负责摇动道岔和道岔加锁，工务人员负责道岔紧固。,Y
判断题,综合维修基地、网工区非电气集中道岔清扫由管理、使用单位负责。涉及几个单位共用时，由电务部门负责清扫并制定具体办法。,N
判断题,“非铁路作业人员禁止进入”的警示标志，在区间由工务段、站内由车站设置，并由设置单位负责日常管理。,Y
判断题,25m及以下钢轨的更换与回收可于次日完成。,N
判断题,Ⅱ级维修负责人由工(班)长担当。,Y
判断题,WJ-7型扣件安装铁垫板时，轨底坡方向应朝向轨道外侧。,N
判断题,客专线道岔尖轨闭合状态下，单辊轮及双辊轮中的内侧辊轮与尖轨轨底侧面的空隙应为1～2mm。,Y
判断题,波形磨耗谷深为相邻波峰与波谷间的垂直距离。,Y
判断题,不需调整图定跨局旅客列车开行（含确认列车）的站场改造、新线引入、换梁、上跨铁路结构物施工属于Ⅲ级施工。,N
判断题,采用长钢轨运输车在无砟轨道区段卸轨时，应采取措施防止损坏无砟轨道结构和应答器、电磁感应器、过道电缆、补偿电容等行车设备。,Y
判断题,参加确认列车添乘工作的人员，应具备1年以上的专业工作经历，经过高速铁路相关知识培训并考试合格。,N
判断题,侧面磨耗在钢轨踏面（按标准断面）下16mm处测量。,Y
判断题,岔后到发线连接曲线半径不应小于该道岔导曲线半径，超高不应大于25mm。,N
判断题,岔后到发线连接曲线半径不应小于该道岔导曲线半径，顺坡率不应大于1‰。,N
判断题,车站、线路所得道岔长期仅开通一个方向使用时，由工务部门对该道岔尖轨和心轨进行紧固，电务部门确认道岔尖轨与心轨密贴状态，同时切断室内外相关转辙机控制电源，车务部门确认进路正确后加锁。工务部门每半月利用天窗时段进行一次检查。,N
判断题,车站、线路所得道岔长期仅开通一个方向使用时，由工务部门对该道岔尖轨和心轨进行紧固，电务部门确认道岔尖轨与心轨密贴状态，同时切断室内外相关转辙机控制电源，车务部门确认进路正确后加锁。工务部门每周利用天窗时段进行一次检查。,Y
判断题,成段更换钢轨或扣件放行列车第一列限速45km/h，第二列限速80km/h，第三列限速120km/h，第四列起限速160km/h至下次天窗点。,Y
判断题,成段更换钢轨时，新、旧长钢轨在线路上存放时应采取可靠的安全措施且存放原则上不得超过8天。,N
判断题,垂直磨耗在钢轨顶面宽1/2处（距标准工作边）测量。,N
判断题,WJ-8型弹条安装时中部前端下颚与绝缘轨距块不宜接触，两者间隙不得大于0.5mm。,Y
判断题,当洪水未超过轨面100mm时，列车应以不超过45km/h的速度运行并报告车站,N
判断题,当设备发生故障，需在双线区间的一线上道检查、处理设备故障时，邻线列车接近前，防护人员通知现场作业负责人停止作业。,Y
判断题,当雨量报警监测点1h降雨量降至20mm及以下，且持续30分钟以上时，可立即解除限速。,N
判断题,道岔发生故障时，仅需电务部门对道岔故障进行检查，根据道岔故障检查情况，采取相应处理措施。,N
判断题,间隔铁及限位器的联结螺栓、护轨螺栓、长短心轨联结螺栓、接头铁螺栓必须齐全，作用良好，折断时必须立即更换。同一部位同时有两个螺栓缺少或折损，或接头铁螺栓有一个缺少或折损时，道岔应停止使用。,Y
判断题,尖轨尖端至第一牵引点与基本轨或可动心轨尖端至第一牵引点与翼轨间隙大于1mm应进行修理。,Y
判断题,非铁路作业人员禁止进入的警示标志，在区间由工务段、站内由车站设置，并由设置单位负责日常管理。,Y
判断题,动车组列车运行途中，当发现积水高于轨面时，应立即停车并报告列车调度员，确认水面位置。,Y
判断题,对处于使用状态的行车设备，严禁进行维修作业,Y
判断题,对行车间隔较长的时间段，可以利用行车间隔进行作业而不必申请天窗。,N
判断题,发现道岔尖轨、基本轨、可动心轨、翼轨折断时应立即封锁线路，进行处理。,Y
判断题,发现钢轨折断时应立即限速。,N
判断题,发现绝缘失效时应立即进行临时处理并于当日天窗时间内进行永久处理,Y
判断题,发现无砟轨道上拱或下沉时，应立即限速处理。,N
判断题,发现胀轨跑道时应立即限速。,N
判断题,"凡经集团公司批准的施工项目，施工单位应于施工前向需配合的单位发出""施工配合通知书""，协商制定作业办法和安全措施，配合单位应保证施工按期进行。",Y
判断题,凡影响行车的施工维修，均应设置防护。,Y
判断题,分动外锁闭道岔铺设后应指定加锁、紧固位置，并做好标记。,Y
判断题,风、雨、雪、异物采集设备与监控单元间：现场轨旁控制箱外电缆进线端100m处为界，该点往轨旁控制箱侧由工务部门负责维护，往监控单元侧由通信部门负责维护。,N
判断题,封锁区间施工时，施工负责人应确认已做好一切施工准备，在任何情况下都必须按批准的施工计划执行。,N
判断题,无缝线路应力放散属于维修项目。,N
判断题,轨道控制网（CPⅢ）由工务部门负责管理。,Y
判断题,钢轨顶面上有长度大于30mm且深度大于5mm的掉块时按钢轨折断处理。,Y
判断题,钢轨伤损按程度分为轻伤、轻伤发展和重伤三类。,N
判断题,钢轨折断断缝35mm时可进行紧急处理。,N
判断题,高速铁路工务安全规则适用于160km/h及以上铁路和160km/h以下仅运行动车组列车的铁路。,N
判断题,高速铁路工务安全规则适用于200km/h及以上铁路和200km/h以下仅运行动车组列车的铁路。,Y
判断题,高速铁路固定设备的临时上道检查、故障抢修作业在《行车设备检查登记簿》内登记完成后即可上道作业。,N
判断题,高速铁路技规适用于250km及以上的铁路和200km以下仅运行动车组列车的铁路。,N
判断题,高速铁路可动心轨辙叉，翼轨跟端设两块间隔铁，间隔铁采用全断面接触加长型间隔铁，并采用焊接型式。,N
判断题,高速铁路施工、维修作业天窗结束后，第一趟可以开行载客的动车组列车。,N
判断题,高速铁路施工作业和维修作业，本线和邻线均需设置作业标。,N
判断题,"高速铁路通道门应加锁，在外侧设置""非铁路作业人员禁止进入""警示标志及信息牌。设置的通道门由集团公司工务部门统一编号并公布。铁路工务、电务、车务、供电等部门因作业需要增设通道门时，按照""谁使用，谁申请，谁管理""的原则，由使用单位提出申请报集团公司工务部门批准，站区内还应经车务部门批准，并与栅栏设备管理单位和属地铁路公安部门办理书面手续后方可设置。",Y
判断题,高速铁路应严格实行天窗修制度。天窗时间应固定，一般不得少于180min。,N
判断题,高速铁路正线设计行车速度350km/h区段，最小坡段长度一般应不小于1200m，困难条件下不得小于900m。,N
判断题,仅运行旅客列车的线路车站两端曲线超高设置：当V≤160km/h时，过超高一般不大于90mm，困难条件下不大于110mm。,Y
判断题,仅运行旅客列车的线路曲线超高应优先满足本线直通列车的旅客舒适度要求，无砟轨道最大值不得超过150mm。,N
判断题,高铁线路曲线未被平衡过超高应不大于70mm。,Y
判断题,高铁线路曲线未被平衡欠超高一般应不大于75mm，困难条件下不大于90mm。,N
判断题,高铁正线道岔接头应全部焊接。,N
判断题,高铁正线相邻坡段坡度差大于或等于2‰时，应设置圆曲线型竖曲线连接。,N
判断题,高铁正线及到发线应采用跨区间无缝线路.,Y
判断题,高铁正线最大竖曲线半径不应大于35000m。,N
判断题,高铁正线最小竖曲线长度不得小于50m。,N
判断题,各设备管理单位遇设备故障、救援抢修等需进入通道门可以不需调度命令，但是作业负责人必须与驻站(或驻所)联络员联系确认(有看守人员的应办理相关手续)后，作业人员方准进入通道门。,N
判断题,工务部门使用的临时回流连接线须用截面积不小于70mm²的软铜线制成，不得出现断股、散股，一经发现立即停用或报废。,Y
判断题,工务部门需更换钢轨、辙叉心、鱼尾板等工作时，必须事先联系电务部门配合。,Y
判断题,工务部门应定期组织有资质的测绘单位对CPⅢ桩点进行复测，测量CPⅢ桩点高程、平面位置的变化情况。,Y
判断题,工务部门应掌握天气预报，遇有降雪时应立即报告调度，并随时监控积雪厚度和雪情变化。,Y
判断题,工务部门应掌握天气预报，遇有降雪应及时报告集团公司工务调度员。,Y
判断题,工务部门在道岔转辙部分作业(改道、起道、拨道、拉轨匀缝等)，无需电务部门配合。,N
判断题,工务负责联锁道岔的密贴调整工作。,N
判断题,轨道精调属于维修项目。,Y
判断题,电气化铁路竣工时，由施工单位在接触网支柱内缘或隧道边墙标出线路的轨面标准线，开通前供电、工务单位要共同复查确认，有砟轨道每年复测一次，复测结果与原轨面标准线误差不得大于±30mm。,Y
判断题,轨道控制网由工务部门管理。,Y
判断题,路基声屏障连续长度超过500m时，应根据疏散和检修要求统一设置安全通道，安全通道外边坡处应有安全同行条件。,Y
判断题,轨距挡板应与承轨槽挡肩密贴，间隙不应大于1mm。,Y
判断题,客专线道岔尖轨闭合状态下，单辊轮及双辊轮中的内侧辊轮与尖轨轨底侧面的空隙应为1～2mm；尖轨斥离状态下，尖轨轨底与滑床台上表面的间隙应为1～3mm。（CN道岔除外）,Y
判断题,滑床板损坏、变形或滑床台磨耗大于3mm，应及时更换。,Y
判断题,"基础设施实行天窗修制度，坚持""严检慎修""的原则，实现设备状态修为主的维修方式。",N
判断题,基础设施实行天窗修制度，优先采用专业维修模式。,N
判断题,尖轨被挤后，如机车车辆停在道岔上时，不得后退，应得到现场指挥人的准许，沿顺岔方向缓缓移动，将机车车辆驶过道岔。,Y
判断题,斥离尖轨非工作边与基本轨工作边的最小距离不小于65 mm与轨距加宽值之和。,Y
判断题,综合检测列车检查发现Ⅳ级偏差处所，或Ⅲ级偏差且车辆动力学指标超限处所，应根据偏差超限值立即采取限速或封锁措施。,Y
判断题,胶接绝缘接头拉开时，应立即复紧两端各50m线路的扣件，限速不超过160km/h，并及时进行永久处理。,Y
判断题,胶结绝缘接头属电务轨道电路设备。,Y
判断题,接触网支柱和站台侧面等施工或维修影响线路标志使用时，施工单位应通知工务部门派人参加。,Y
判断题,仅运行动车组列车的区间正线可不设置移动减速信号防护。,Y
判断题,仅运行动车组列车的区间正线也需设置移动减速信号防护。,N
判断题,仅运行动车组列车的站内线路或道岔可不设置移动减速信号防护,Y
判断题,紧固装置和加锁装置作为道岔备品由工务部门保管。,N
判断题,更换钢轨需拆装扼流变钢轨引线，未设置好分路电缆之前，不得将扼流变钢轨引线从钢轨上拆开。,Y
判断题,进入桥面和隧道内检查、作业、设备故障及自然灾害应急处置，应设驻调度所(驻站)联络员，现场可不设现场防护员。,N
判断题,开行路用列车运送作业人员或装卸机具、材料属于Ⅰ级维修。,Y
判断题,客专道岔尖轨相对于基本轨允许伸缩位移±30mm。,N
判断题,客专道岔可动心轨相对于翼轨允许伸缩位移±10mm。,N
判断题,列车在车站（线路所）侧向通过速度有变化时，由工务部门提出及时修改,Y
判断题,邻线来车时，靠邻线的一侧严禁卸材料。,Y
判断题,桥上道砟厚度不足150mm时，严禁捣固车捣固作业。,Y
判断题,小型养路机械、机具应专管专用，专人负责上道登记和下道清点。,Y
判断题,进行接触粉尘及有毒、易燃、易爆物品作业，高处作业，以及使用电器、机械作业等必须按规定使用劳动保护用品。,Y
判断题,起道作业一股钢轨起道时，一次作业起道量不得超过10mm，否则应通知供电部门调查确认接触网设备调整工作量并配合作业。,N
判断题,抢修作业时，邻线列车接近前，防护人员通知现场作业负责人停止作业。作业机具、材料等不得侵限，可摆放在两线间。,N
判断题,抢修作业时，邻线列车接近前，只要邻线列车限速，本线可不必停止作业。,N
判断题,桥梁上一侧拨道量年累计不得大于60mm，且应满足线路中心与桥梁中心的偏差不得大于50mm。,Y
判断题,WJ-7型扣件桥上采用小阻力扣件时使用W1型弹条。,N
判断题,装卸长钢轨，钢丝绳与挂钩、固定器等应联结牢固，人员不得站在移动前方和钢丝绳附近。,Y
判断题,区间线路的道床有积雪覆盖超过轨面处所允许卸材料。,N
判断题,确认列车负责人应携带“确认列车添乘表”和“高速铁路确认情况记录表”。各单位添乘人员须在列车开车前15min到达并在“确认列车添乘表”中签到。确认列车始发前，确认列车负责人向司机汇报添乘人员到齐，司机与列车调度员联系开车。,Y
判断题,任何情况下，禁止在钢支架人行道上放置钢轨。,Y
判断题,任何作业人员及所携带的物件、作业工器具等须与牵引供电设备高压带电部分保持2m以上的距离，与回流线、架空地线、保护线保持1m以上的距离。距离不足时，牵引供电设备必须停电，并采取安设接地线等安全防护措施。,Y
判断题,如区间道岔发生故障并与闭塞设备失去联锁时，管理站车站值班员应报告列车调度员，停止该区间的行车，并在行车设备检查登记簿内登记，通知电务、工务工区前来修理，待修复后再恢复行车。,Y
判断题,如区间道岔发生故障并与闭塞设备失去联锁时，管理站车站值班员应报告列车调度员，停止该区间的行车，并在行车设备检查登记簿内登记，通知工务工区前来修理，待修复后再恢复行车。,N
判断题,若现场防护员联系不上驻调度所(驻站)联络员，不得将线路恢复到准许放行列车的条件。,N
判断题,设计行车速度350km/h，区间及站内正线线间距不应小于5.0m。,Y
判断题,设计文件必须经有关部门审查，并按规定的审批程序批准。,Y
判断题,施工单位及设备管理单位应严格掌握开通条件，经检查满足放行列车的条件，办理开通登记后，向列车调度员申请开通区间。,N
判断题,施工负责人接到调度命令，确认施工起止时刻后即可开工，并保证在规定时间内完成。,N
判断题,施工负责人经与列车调度员(车站值班员)联系确认尽头一端无列车、轨道车时，则尽头一端可不设防护。,Y
判断题,施工维修时如因特殊情况不能按时开通区间或不能按规定的开通速度运行时，应临时要求列车调度员延长时间或限速运行。,N
判断题,施工作业地点在站外，距离进站信号机(反方向进站信号机)小于820m时，现场防护人员应站在距进站信号机处。,N
判断题,施工作业时，施工单位与设备管理单位应采取措施，保证施工作业人员与邻线列车安全，作业人员和机具须严格遵守避车制度。,Y
判断题,竖曲线（或变坡点）与缓和曲线、道岔在困难条件下可以重叠设置。,N
判断题,双线区段，在反方向进站信号机至出站道岔的线路上施工，对车站方向，在出站道岔外方基本轨接头处（对向道岔在警冲标相对处）线路上，设置移动停车信号牌（灯）防护。,Y
判断题,双线区段，在反方向进站信号机至出站道岔的线路上施工，对区间方向，以关闭的反方向进站信号机防护。,Y
判断题,双线区间两条线路施工时，只需要对其中一条线均设置移动停车信号灯即可。,N
判断题,天窗内所有影响施工路用列车运行的施工维修作业必须在施工路用列车通过后方可进行，并须在施工路用列车返回前结束。,Y
判断题,天窗修期间，施工、维修单位均要在《行车设备施工登记簿》内办理登销记。,Y
判断题,铁路轨道控制网(CPⅢ)由工务、供电部门共同负责管理。,N
判断题,铁路技术设备，均须有完整和正确反映其状态的文件及技术履历等相关资料。,Y
判断题,铁路技术设备的养护维修工作，坚持以预防为主、检查为主、预防与整治相结合的原则。,N
判断题,铁路上跨地方公路桥梁和地方桥梁上跨铁路时，因冬季结冰产生冰凌时，由工务单位负责清理。,N
判断题,铁路线两侧已经设置围墙、栅栏、防护桩等安全设施后，可不设安全保护区。,N
判断题,轨道平车和单轨小车兼备运送人员。,N
判断题,铁路应根据沿线的风速、降雨量等建立相应的自然灾害异物侵限监测系统对风雨雪等实时监测报警或预警。,Y
判断题,铁路用地应按地界线埋设安全保护区桩，其制作和埋设应符合有关标准。,N
判断题,铁路职工或其他人员发现设备故障危及行车和人身安全时，立即上线路扣停列车。,N
判断题,通道门以关闭加锁为定位。作业过程中，通道门应保持锁闭状态，否则必须安排专人看守。,Y
判断题,维修作业开始前不需限速，结束后达到正常放行列车条件，且在维修天窗时间内完成。,Y
判断题,无缝道岔设计锁定轨温应与两端区间无缝线路设计锁定轨温一致。,Y
判断题,无缝线路同一区间内单元轨节最高与最低锁定轨温之差不应大于10℃（长隧道除外）。,Y
判断题,无缝线路相邻单元轨节之间锁定轨温之差不应大于5℃。,Y
判断题,无缝线路应力放散属于维修项目。,N
判断题,允许速度160km/h以上无缝线路左右股钢轨锁定轨温之差不应大于3℃。,Y
判断题,无调度命令不得进入防护栅栏及通道门。,Y
判断题,无砟轨道板内非预应力钢筋接地由供电部门负责管理和维护。,N
判断题,下穿铁路桥梁、涵洞的道路应按照国家标准设置车辆通过限速标志和限高防护架。,N
判断题,线路换轨如需拆卸地线时，无需供电人员配合。待换轨施工结束后，须保证地线接地良好。,N
判断题,线路换轨施工如需拆卸地线时，应有供电人员配合。待换轨施工结束后，须保证地线接地良好。,Y
判断题,线路精调可以利用列车间隔进行。,N
判断题,线路上临时插入的短轨，不得短于5m，不得连续插入，且必须尽快恢复。,N
判断题,线路维修工作分为作业、经常保养和临时补修。,N
判断题,线路允许速度160km/h及其以上区段，小车仅限在天窗内使用，禁止利用列车间隔使用小车。,Y
判断题,线路允许速度小于160Km/h区段，在线路上使用小车时，使用部门必须做到专人使用，专人防护，并应保证在距离列车不少于线路最大速度等级规定的列车紧急制动距离撤出线路。,Y
判断题,线路运行速度300-350km/h区段取消大雨限速申请后，当限速120km/h时，第一趟列车提速至200km/h，第二趟列车恢复至常速。,Y
判断题,线路运行速度300-350km/h区段取消大雨限速申请后，当限速45km/h时，第一趟列车提速至120km/h，第二趟列车提速至200km/h，第三趟列车恢复至常速。,Y
判断题,线路状态未恢复到准许放行列车的条件，禁止撤除防护、放行列车。,Y
判断题,钢轨打磨时，其他人员应远离打磨后方。,N
判断题,需临时拆除防护栅栏时，仅需派人昼夜看守。,N
判断题,需人工上道除雪时，上、下道应执行登记签认制度。,Y
判断题,汛期一旦发生灾害，积极组织抢修尽快恢复争取不中断行车或减少中断行车时间。,Y
判断题,一切建（构）筑物、设备，均不得侵入铁路建筑限界。,Y
判断题,因大、中修施工需变动站内和区间线路平面及纵断面时，应经总公司审核批准。,N
判断题,因施工需铺设拆除站内线路、道岔，以及临时变更或停止使用信号设备连锁关系时，应由施工单位向设备管理单位提出书面申请。,N
判断题,因施工原因需临时拆除封闭栅栏时，当设置好临时防护设施后，无重要物品情况下可不必派人看守。,N
判断题,因新建、改建工程等发生行车设备变化时，施工单位应在设备开通前30天向设备管理单位、使用单位、集团公司业务处提供相关技术资料。设备管理单位对施工单位提供的技术资料应及时审核，在开通后15天内，将经过审核、修改的技术资料并提供给使用单位。,Y
判断题,有发生塌方、落石、断道等自然灾害的防洪重点处所，在每年防洪、防台期前由集团公司公布。,Y
判断题,临时拆除防护栅栏时，在开口处悬挂警示标志，设置临时防护设施，并派专人昼夜看守。,Y
判断题,遇有暴风雨雪天气或地震，工务、电务、供电等设备管理单位应加强对重点地段和设备的检查。,Y
判断题,运营速度为250km/h及以下铁路，如确需采取V形天窗，V形天窗时段邻线限速不超过200km/h。,N
判断题,在尽头线上施工，施工负责人经与列车调度员(车站值班员)联系确认尽头一端无列车、轨道车时，尽头一端仍需要设置防护。,N
判断题,在尽头线上施工，施工负责人经与列车调度员(车站值班员)联系确认尽头一端无列车、轨道车时，则尽头一端可不设防护。,Y
判断题,在进站道岔上施工，对区间方向，以关闭的进站信号机防护，不需设置移动停车信号牌(灯)。,Y
判断题,在进站道岔外方线路上施工，对车站方向，以关闭的进站信号机防护。,N
判断题,在进站道岔外方线路上施工，对区间方向，不需设置移动停车信号牌(灯)，以关闭的进站信号机防护。,Y
判断题,在进站道岔外方线路上施工，对区间方向，在进站道岔外方基本轨接头处(顺向道岔在警冲标相对处)线路上，设置移动停车信号牌(灯)防护。,N
判断题,在距离牵引供电设备高压带电部分2m以外，与回流线、架空地线、保护线1m以外，临近铁路营业线作业时，牵引供电设备可不停电，但需按照铁路营业线施工安全管理有关规定执行。,Y
判断题,在确认工程符合技术标准、设计文件的要求可进行交接，竣工文件和技术设备使用说明书等资料可后期陆续检查。,N
判断题,在设置好防护后的天窗作业，可在路用列车通过前进行，通过时做好防护。,N
判断题,铁路线路安全保护区内既有的建筑物、构筑物危及铁路运输安全的，应当采取必要的安全防护措施。,Y
判断题,在天窗时间外，检查人员发现影响行车安全的隐患时需要上道处理时，可不必申请限速或封锁线路。,N
判断题,在同一地点同时更换两股钢轨时，无论该地段接触网是否停电，换轨前必须在被换钢轨两端的左右轨节间横向各设一条截面不小于70mm²的铜导线。,N
判断题,在异物侵限系统故障未修复前，设备管理单位须派人在现场24小时不间断看守。,Y
判断题,在站内道岔上施工，如一端距离外方道岔小于50m时，将有关道岔扳向通往施工地点的位置，并加锁或紧固。,N
判断题,在站内线路上施工时，将施工线路两端道岔扳向不能通往施工地点的位置，并加锁或紧固，可不设置移动停车信号牌（灯）。,Y
判断题,站内线路施工时，将施工线路两端道岔扳向不能通往施工地点的位置，并加锁或紧固，可不设置移动停车信号牌（灯）。,Y
判断题,辙岔号为12号及以上的分动外锁闭道岔无表示时，除按规定加锁外，还应通知工务工区紧固。,N
判断题,驻调度所(驻站)联络员应使用有录音回放功能的通信工具或录音笔。,Y
判断题,在隧道内处理松动衬砌及翻修衬砌时，必须有预防塌落伤人的安全措施。,Y
判断题,综合检测列车对线路局部不平顺采用TQI进行评定。,N
判断题,综合检测列车对整体不平顺采用偏差扣分办法进行评定。,N
判断题,综合维修基地、网工区、段管线停留的机车车辆，由管理、使用单位负责防溜措施的设置和撤除（车站担当取送作业时除外）。,Y
判断题,工务部门应建立工务段、车间二级应急处置体系，强化应急处置能力，及时做好工务设备故障和自然灾害的应急处置。,N
判断题,当设备发生故障，需在双线区间的一线上道检查、处理设备故障时，本线应封锁、邻线列车限速45 km/h及以下。,N
判断题,设备故障处理后的放行列车条件由列车调度员确定。,N
判断题,作业负责人由作业单位按照施工和维修等级安排相应人员担任。Ⅰ级施工由车间主任（副主任）担当，Ⅱ级施工由施工单位分管副职担当，Ⅲ级施工由施工单位段领导担当。,N
判断题,轨道动态几何不平顺的检测项目包括高低、轨向、轨距、水平、三角坑、复合不平顺、轨距变化率、车体垂向和横向振动加速度等。,Y
判断题,高速铁路V形天窗，经电务人员允许，可拆除与贯通地线连接的各种接地线。,N
判断题,驻调度所（驻站）联络员应及时向工长传达调度命令。,N
判断题,60kg/m钢轨高度为176mm，质量约为60kg/m。,Y
判断题,钢轨螺栓孔边缘应予倒棱，尺寸为0.8mm-1.5mm，角度为60º。,N
判断题,侧面磨耗在钢轨踏面（按标准断面）下12mm处测量。,N
判断题,总磨耗＝垂直磨耗＋1/2侧面磨耗。,Y
判断题,钢轨钻孔位置应在螺栓孔中心线上，且必须倒棱。两螺栓孔净距不得小于大孔径的3倍。,N
判断题,严禁在钢轨（道岔轨件）的任何部位刻痕、焊接附件，严禁锤击轨底。,Y
判断题,高速铁路正线有砟道床边坡坡率1:1.75。,Y
判断题,高速铁路无砟道床伤损等级分为Ⅰ级、Ⅱ级。,Y
判断题,CRTS双块式无砟轨道路基地段曲线超高道床板上设置。,N
判断题,高速铁路道岔按功能可分为正线道岔、渡线道岔和联络线道岔三种类型。,Y
判断题,单向调节器由基本轨、尖轨、铁垫板总成、轨枕或轨道板组成。,Y
判断题,钢轨伸缩调节器基本轨工作边提供轨距线，其基本轨伸缩，尖轨锁定。,N
判断题,客专线18号道岔全长为59m。,N
判断题,客专线18号道岔导曲线线型为单圆曲线、半径为1100m。,Y
判断题,客专线道岔尖轨跟端传力结构采用限位器或间隔铁两种结构形式。,Y
判断题,客专线道岔尖轨闭合状态下，单辊轮及双辊轮中的内侧辊轮与尖轨轨底侧面的空隙应为1～2mm。,Y
判断题,客专道岔辊轮槽排水孔应保持畅通。,Y
判断题,防跳限位装置是客专线道岔防止尖轨闭合状态下跳动的一种防跳设备。,N
判断题,客专线18号道岔直向部设置护轨。,N
判断题,客专线18号道岔导曲线支距1—16点每2m设一个测点。,Y
判断题,CN18号道岔采用圆曲线线形，导曲线半径为1100m。,Y
判断题,《高速铁路线路维修规则》规定：道岔可动心轨辙叉伤损时，宜整体更换。,Y
判断题,《高速铁路线路维修规则》规定：道岔尖轨或基本轨伤损时，宜同时更换尖轨和基本轨。,Y
判断题,钢轨伸缩调节器由基本轨、尖轨、扣件系统、轨枕等组成。,Y
判断题,钢轨伸缩调节器按伸缩方向分成单向调节器和双向调节器两种类型。,Y
判断题,客专线18号高速道岔尖轨不足位移主要体现在静态尖轨侧弯，轨距偏小，顶铁离缝。,Y
判断题,钢轨内部温度力为零时的轨温叫做设计锁定轨温。,N
判断题,"高速铁路无缝线路方向不良，碎弯多,应进行拨道处理。",N
判断题,高速铁路常用钢轨焊接修复应积极采用闪光焊轨车和气压焊轨车进行焊接。,Y
判断题,高速铁路钢轨铝热焊焊缝距轨枕边缘不应小于300mm。,N
判断题,高速铁路无缝线路左右两股钢轨绝缘接头应相对铺设，且绝缘接头轨缝绝缘端板距轨枕承轨台边缘不宜小于100mm。,Y
判断题,高速铁路线路维修应按照“预防为主、防治结合、严检慎修”的原则。,Y
判断题,高速铁路线路计划维修主要内容无缝线路钢轨位移、调节器伸缩量及状态巡视和分析。,N
判断题,线路设备检查应坚持“动态检查为主，动、静态检查相结合，外观检查与几何尺寸检查并重”的原则。,N
判断题,动态检查应以综合检测列车和轨检车检测为主要依据。,N
判断题,道岔的结构及联结零件巡视每日不少于一遍。,N
判断题,线路动态检查周期：综合检测列车轨道几何检测原则上每半月检查1遍。,Y
判断题,正线轨道几何尺寸检查，无砟轨道每年不少于1遍，重点地段应加强检查。,Y
判断题,钢轨探伤评判分轻伤、轻伤发展和重伤三种。,N
